;TrV;Benämning;Definition;Synonym
Komponenter;BBA;Elektriskt motståndsdetektor;motståndsavkännande objekt för elektrisk ström, med Boolskt utvärde;
Komponenter;BBB;Elektriskt motståndssensor;motståndsavkännande objekt för elektrisk ström, med skalärt utvärde;Ohm-mätare, Wheatstones brygga
Komponenter;BBC;Termiskt motståndsdetektor;motståndsavkännande objekt för termiskt flöde, med Boolskt utvärde;
Komponenter;BBD;Termiskt motståndssensor;motståndsavkännande objekt för termiskt flöde, med skalärt utvärde;
Komponenter;BC;Elektrisk strömavkännande objekt;avkännande objekt för elektrisk ström;
Komponenter;BCA;Strömdetektor;elektrisk strömavkännande objekt, med Booleskt utvärde;rälskontakt, spårledning, överlastskydd, överströmsrelä
Komponenter;BCB;Strömsensor;elektrisk strömavkännande objekt, med skalärt utvärde;
Komponenter;BD;Densitetavkännande objekt;avkännande objekt för densitet;
Komponenter;BDA;Densitetsdetektor;densitetavkännande objekt, med Booleskt utvärde;
Komponenter;BDB;Densitetssensor;densitetavkännande objekt, med skalärt utvärde;givare densitet
Komponenter;BE;Fältavkännande objekt;avkännande objekt för fält;
Komponenter;BEA;Elfältsdetektor;fältavkännande objekt för elektriskt fält, med Booleskt utvärde;
Komponenter;BEB;Elfältssensor;fältavkännande objekt för elektriskt fält, med skalärt utvärde;
Komponenter;BEC;Magnetfältsdetektor;fältavkännande objekt för magnetiskt fält, med Booleskt utvärde;induktiv givare, fordonsdetektor, axelräknare, detektorslinga,  larmbåge, metalldetektor, tungrelä
Komponenter;BED;Magnetfältssensor;fältavkännande objekt för magnetiskt fält, med skalärt utvärde;induktiv sensor
Komponenter;BF;Flödesavkännande objekt;avkännande objekt för flöde;
Komponenter;BFA;Flödesdetektor;flödesavkännande objekt, med Booleskt utvärde;
Komponenter;BFB;Flödessensor;flödesavkännande objekt, med skalärt utvärde;flödesmätdon
Komponenter;BG;Fysisk dimensionsavkännande objekt;avkännande objekt för rumslig dimension och/eller position;
Komponenter;BGA;Positionsdetektor;fysisk dimensionsavkännande objekt för position, med Booleskt utvärde;fotocell, givare närvaro, gränslägesbrytare, indikeringsdon för färdriktning, ir-detektor, magnetkontakt
Komponenter;BGB;Positionssensor;fysisk dimensionsavkännande objekt för position, med skalärt utvärde;givare läge
Komponenter;BGC;Längddetektor;fysisk dimensionsavkännande objekt för längd, med Booleskt utvärde;
Komponenter;BGD;Längdsensor;fysisk dimensionsavkännande objekt för längd, med skalärt utvärde;
Komponenter;BGE;Vinkeldetektor;fysisk dimensionsavkännande objekt för vinkel, med Booleskt utvärde;
Komponenter;BGF;Vinkelsensor;fysisk dimensionsavkännande objekt för vinkel eller riktning, med skalärt utvärde;vindindikator, vindriktningsvisare, vindstrut
Komponenter;BGG;Skanner;fysisk dimensionsavkännande objekt för fysiska objekt;2d-skanner, 3d-skanner, laserskanner, scanner
Komponenter;BH;Energiavkännande objekt;avkännande objekt för energi;
Komponenter;BHA;Flödesenergimätare;energiavkännande objekt av flöde med känd energidensitet;vindmätare
Komponenter;BHB;Värmeenergimätare;energiavkännande objekt av flöde med känd värmekapacitet;
Komponenter;BHC;Elmätare;energiavkännande objekt av elektriskt flöde;
Komponenter;BJ;Effektavkännande objekt;avkännande objekt för effekt;
Komponenter;BJA;Effektdetektor;effektavkännande objekt, med Boolskt utvärde;
Komponenter;BJB;Effektsensor;effektavkännande objekt, med skalärt utvärde;kraftmätare
Komponenter;BK;Tidsavkännande objekt;avkännande objekt för tid;
Komponenter;BKA;Tidsströmställare;tidsavkännande objekt, med Booleskt utvärde;timer, tidsbrytare
Komponenter;BKB;Tidssensor;tidsavkännande objekt, med skalärt utvärde;klocka, tidmätare, tidtagarur
Komponenter;BL;Nivåavkännande objekt;avkännande objekt för nivå;
Komponenter;BLA;Nivådetektor;nivåavkännande objekt, med Booleskt utvärde;
Komponenter;BLB;Nivåsensor;nivåavkännande objekt, med skalärt utvärde;givare nivå, grundvattenrör, nivågivare, nivåavkännare, höjdmätare
Komponenter;BM;Fuktighetsavkännande objekt;avkännande objekt för fuktighet;
Komponenter;BMA;Fuktighetsdetektor;fuktighetsavkännande objekt, med Booleskt utvärde;snödetektor
Komponenter;BMB;Fuktighetssensor;fuktighetsavkännande objekt, med skalärt utvärde;fuktighetsmätare, givare humiditet
Komponenter;BP;Tryckavkännande objekt;avkännande objekt för tryck;
Komponenter;BPA;Tryckdetektor;tryckavkännande objekt för uppmätt eller absolut tryck, med Booleskt utvärde;
Komponenter;BPB;Trycksensor;tryckavkännande objekt för uppmätt eller absolut tryck, med skalärt utvärde;givare tryck, manometer, tryckmätare, barometer
Komponenter;BPC;Tryckskillnadsdetektor;tryckavkännande objekt för differentialtryckavkänning, med Booleskt utvärde;
Komponenter;BPD;Tryckskillnadssensor;tryckavkännande objekt för differentialtryckavkänning, med skalärt utvärde;
Komponenter;BQ;Koncentrationsavkännande objekt;avkännande objekt för substanskoncentration;
Komponenter;BQA;Gasdetektor;koncentrationsavkännande objekt för gas, med Booleskt utvärde;gasvarnare
Komponenter;BQB;Gassensor;koncentrationsavkännande objekt för gas, med skalärt utvärde;givare co
Komponenter;BQC;Vätskedetektor;koncentrationsavkännande objekt för vätska, med Booleskt utvärde;dimdetektor, siktdetektor
Komponenter;BQD;Vätskesensor;koncentrationsavkännande objekt för vätska, med skalärt utvärde;dimmätare, siktgivare, siktmätare, siktsensor
Komponenter;BQE;Solidmateriadetektor;koncentrationsavkännande objekt för solid materia, med Booleskt utvärde;givare brand, linjerökdetektor, rökdetektor, turbiditetsdetektor
Komponenter;BQF;Solidmateriasensor;koncentrationsavkännande objekt för solid materia, med skalärt utvärde;stofthalt, turbiditetsgivare, turbiditetsmätare
Komponenter;BR;Strålningsavkännande objekt;avkännande objekt för strålning;
Komponenter;BRA;Ljusdetektor;strålningsavkännande objekt för synliga elektromagnetiska vågor, med Booleskt utvärde;fotocell, ljusbågsdetektor
Komponenter;BRB;Ljussensor;strålningsavkännande objekt för synliga elektromagnetiska vågor, med skalärt utvärde;givare luminans, ljusmätare, luxmätare
Komponenter;BRC;Elektromagnetisk vågdetektor;strålningsavkännande objekt för icke synlig elektromagnetism, med Booleskt utvärde;
Komponenter;BRD;Elektromagnetisk vågsensor;strålningsavkännande objekt för icke synlig elektromagnetism, med skalärt utvärde;
Komponenter;BRE;Nukleär patrikeldetektor;strålningsavkännande objekt för nukleära partiklar, med Booleskt utvärde;strålningsdetektor
Komponenter;BRF;Nukleär partikelsensor;strålningsavkännande objekt för nukleära partiklar, med skalärt utvärde;geigermätare, strålningsmätare, strålningssensor
Komponenter;BS;Tempoavkännande objekt;avkännande objekt för tempo;
Komponenter;BSA;Frekvensdetektor;tempoavkännande objekt för icke roterande cykler, med Booleskt utvärde;
Komponenter;BSB;Frekvenssensor;tempoavkännande objekt för icke roterande cykler, med skalärt utvärde;frekvensgivare, frekvensmätare
Komponenter;BSC;Hastighetsdetektor;tempoavkännande objekt för distans, med Booleskt utvärde;rörelsedetektor
Komponenter;BSD;Hastighetssensor;tempoavkännande objekt för distans, med skalärt utvärde;givare hastighet, hastighetsmätare
Komponenter;BSE;Rotationsdetektor;tempoavkännande objekt för rotation, med Booleskt utvärde;
Komponenter;BSF;Rotationssensor;tempoavkännande objekt för rotation, med skalärt utvärde;varvräknare
Komponenter;BSG;Vibrationsdetektor;tempoavkännande objekt för hastighet, med Booleskt utvärde;accelerationströskeldetektor, givare vibration
Komponenter;BSH;Vibrationssensor;tempoavkännande objekt för hastighet, med skalärt utvärde;accelerationssensor, bromsprovare, seismisk mätare
Komponenter;BT;Temperaturavkännande objekt;avkännande objekt för temperatur;
Komponenter;BTA;Temperaturdetektor;temperaturavkännande objekt med Booleskt utvärde;givare brand, värmedetektor
Komponenter;BTB;Temperatursensor;temperaturavkännande objekt med skalärt utvärde;rälstemperaturgivare, temperaturgivare, termometer, utomhustemperaturgivare
Komponenter;BU;Multifunktionellt avkännande objekt;avkännande objekt för multipla kvantiteter;multikvantitetavkännande objekt
Komponenter;BUA;Flerfunktionsdetektor;multikvantitetsavkännande objekt med Booleskt utvärde(n);Buchholzrelä, flersensordetektor, multidetektor
Komponenter;BUB;Flerfunktionssensor;multikvantitetsavkännande objekt med skalärt utvärde(n);distansskydd, multimeter
Komponenter;BW;Kraftavkännande objekt;avkännande objekt för vikt, kraft eller vridmoment;
Komponenter;BWA;Viktdetektor;kraftavkännande objekt för vikt, med Booleskt utvärde;
Komponenter;BWB;Viktsensor;kraftavkännande objekt för vikt, med skalärt utvärde;fordonsvåg, våg
Komponenter;BWC;Kraftdetektor;kraftavkännande objekt för kraft, med Booleskt utvärde;
Komponenter;BWD;Kraftsensor;kraftavkännande objekt för kraft, med skalärt utvärde;
Komponenter;BWE;Vridmomentsdetektor;kraftavkännande objekt för vridmoment, med Booleskt utvärde;
Komponenter;BWF;Vridmomentssensor;kraftavkännande objekt för vridmoment, med skalärt utvärde;
Komponenter;BX;Audiovisuellt avkännande objekt;avkännande objekt för ljud och/eller visuellt utseende;
Komponenter;BXA;Ljuddetektor;audiovisuellt avkännande objekt för ljud, med Booleskt utvärde;glaskrossdetektor, glaskrossningsdetektor, kavitationsdetektor, ljudlarm, stallningsdetektor
Komponenter;BXB;Ljudsensor;audiovisuellt avkännande objekt för ljud, med skalärt utvärde;ljudnivåmätare, mikrofon
Komponenter;BXC;Bildigenkännare;audiovisuellt avkännande objekt för visuellt utseende, med Booleskt utvärde;ansiktsigenkännare, fingeravtrycksläsare, irisläsare
Komponenter;BXD;Kamera;audiovisuellt avkännande objekt för visuellt utseende, med skalärt utvärde;bildsensor, scanner, skanner, stillbildskamera, trafikkamera, videokamera, webbkamera, övervakningskamera
Komponenter;BXE;Videokamera;audiovisuellt avkännande objekt för ljud och visuellt utseende, med skalärt utvärde;
Komponenter;BY;Informationsavkännande objekt;avkännande objekt för lagrad information;
Komponenter;BYA;Chipkortläsare;informationsavkännande objekt genom elektriskt kontakt;kortläsare
Komponenter;BYB;Elektromagnetläsare;informationsavkännande objekt genom elektromagnetiskt fält;biljettläsare, kortläsare, magnetbandläsare, magnetkortläsare, nfc-läsare, rfid-läsare
Komponenter;BYC;Ljusläsare;informationsavkännande objekt genom ljus;qr-kodläsare, streckkodsläsare
Komponenter;BYD;Betalautomat;informationsavkännande objekt för ekonomisk transaktion;biljettautomat, parkeringsautomat, parkeringsmätare, p-automat, p-mätare
Komponenter;BZ;Händelsesavkännande objekt;avkännande objekt för händelser eller summor;
Komponenter;BZA;Kvantitetsdetektor;händelseavkännande objekt för detektering av händelse, med Booleskt utvärde;tröskelmätare
Komponenter;BZB;Kvantitetssensor;händelseavkännande objekt för detektering av antal händelser, med skalärt utvärde;räknare, varvtalsmätare, varvräknare
Komponenter;BZC;Materialdetektor;händelseavkännande objekt för detektering av närvaron av materia, med Booleskt utvärde;
Komponenter;BZD;Persondetektor;händelseavkännande objekt för detektering av närvaron av personer, med Booleskt utvärde;närvarodetektor, närvarogivare, passagedetektor, passagerardetektor, rörelsedetektor
Komponenter;C;Lagrande  objekt;objekt för lagring för senare åtkomst;
Komponenter;CA;Kapacitivt lagrande objekt;lagrande objekt för elektrisk energi i ett elektrostatiskt fält;
Komponenter;CAA;Kondensator;kapacititvt lagrande objekt för elektisk laddning;
Komponenter;CB;Induktivt lagrande objekt;lagrande objekt för elektrisk energi i ett elektromagnetiskt fält;
Komponenter;CBA;Spole;induktivt lagrande objekt för induktiv laddning;
Komponenter;CC;Elektrokemiskt lagrande objekt;lagrande objekt för elektrisk energi i en elektrokemisk substans;
Komponenter;CCA;Uppladdningsbart batteri;elektrokemiskt lagrande objekt genom reversibel reaktion;
Komponenter;CF;Informationslagrande objekt;lagrande objekt för information;
Komponenter;CFA;Informationslagringsmedium;informationslagrande objekt på ett medium;cd, cd-rom, diskett, flashdrive, flashminne, hårddisk, lagringsenhet, magnetband, minnespinne, ssd-disk, ssd-minne, usb-minne
Komponenter;CL;Öppet stationärt fysiskt lagrande objekt;lagrande objekt för materia eller personer i en öppen omslutning;
Komponenter;CLA;Kar;öppet stationärt fysiskt lagrande objekt för vätskor;badkar, bassäng, bassängbana, diskho, disklåda, handfat, magasin, mattvättho, pool, spolback, tvättbalja, tvättbänk, tvättlåda, tvättränna, tvättställ, utslagsback, öppen behållare, öppen tank
Komponenter;CLB;Hylla;öppet stationärt fysiskt lagrande objekt för solida objekt ;bokhylla, hatthylla, hyllställning, kapphylla, konsolhylla, skohylla
Komponenter;CM;Slutet stationärt fysiskt lagrande objekt;lagrande objekt för materia i en stationär omslutning;
Komponenter;CMA;Tank;slutet stationärt fysiskt lagrande objekt för vätska eller gas;ackumulatortank, avspänningskärl, avsvalningskärl, hydrofor, magasin, nox-tank, latrin, spillvattentank, tryckhållningskärl
Komponenter;CMB;Skåp;slutet stationärt fysiskt lagrande objekt för solid materia;byrå, hurts, låda
Komponenter;CN;Flyttbart fysiskt lagrande objekt;lagrande objekt för gods eller personer i en flyttbar omslutning;
Komponenter;CNA;Flyttbar behållare;slutet flyttbart fysiskt lagrande objekt för solid material eller personer;askkopp, container, hisskorg, hurts, papperskorg, planteringskärl, planteringslåda, skåp, skräpkorg, soptunna, storsäck
Komponenter;CNB;Gasflaska;slutet flyttbart fysiskt lagrande objekt för gas;gastub
Komponenter;CNC;Tunna;slutet flyttbart fysiskt lagrande objekt för vätska;flaska
Komponenter;CP;Termisk energilagrande objekt;lagrande objekt för termisk energi;
Komponenter;CPA;Varmvattentank;termisk energilagrande objekt för vätska;ackumulatortank
Komponenter;CPB;Gastank;termisk energilagrande objekt för gas;
Komponenter;CPC;Värmeackumulor av fast materia;termisk energilagrande objekt för solid materia;
Komponenter;CPD;Behållare för fasskiftmaterial;termisk energilagrande objekt för fasändrande material;
Komponenter;CQ;Mekanisk energilagrande objekt;lagrande objekt för mekanisk energi;
Komponenter;CQA;Svänghjul;mekanisk energilagrande objekt i form av rörelseenergi;
Komponenter;CQB;Elastisk energilagrare;mekanisk energilagrande objekt i form av elastisk energi;dörrstängare, fjäder, gummiband
Komponenter;CQC;Motvikt;mekanisk energilagrande objekt i form av lägesenergi;
Komponenter;E;Avgivande objekt;objekt för avgivande;
Komponenter;EA;Ljuskälla;avgivande objekt för ljus;belysningsenhet, lampenhet
Komponenter;EAA;Elektrisk lampa;ljuskälla genom elektricitet;båglampa, glödlampa, halogenlampa, högtrycksnatriumlampa, kvicksilverlampa, lysrör, led-lampa, lysdiodlampa, natriumlampa, neonlampa, xenonlampa
Komponenter;EAB;Gaslampa;ljuskälla genom gasförbränning;
Komponenter;EAC;Vätskelampa;ljuskälla genom vätskeförbränning;fotogenlampa
Komponenter;EB;Elektriskt värmeavgivande objekt;avgivande objekt för elektriskt genererad värme;
Komponenter;EBA;Elektrisk vätskevärmare;elvärmeavgivande objekt genom vätska;doppvärmare, elpanna, elpatron, mantelvärmare, poolvärme, värmepanna, elpanna, flispanna, fritös, gaspanna, kokeri, kokgryta, oljepanna, oljevärmare, pelletspanna, vattenbad, varmvattenpanna, vattenkokare, vattenvärmare, vedpanna, tappvattenvärmeväxlare, vattenberedare med slinga, vätskekopplad återvinning
Komponenter;EBB;Elvärmeplatta;elvärmeavgivande objekt genom en öppen yta;bastuaggregat, elradiator, konvektor, spishäll, spisplatta, stekbord, stekhäll, varmhållare, golvvärmematta, takvärmematta, värmelist
Komponenter;EBC;Elektrisk värmekabel;elvärmeavgivande objekt genom en kabel;betonghärdning, frostskydd av rör, handdukstork, hängrännevärme, markvärme, spårspärrsvärme, spårväxelvärmare, stuprörsvärme, värmelement i växeldriv, växelvärmarelement
Komponenter;EBD;Elektrisk varmluftsfläkt;elvärmeavgivande objekt genom luftblåsning;aerotemper, luftvärmare, torkaggregat
Komponenter;EBE;Elektrisk bågvärmare;elvärmeavgivande objekt genom elektrisk båge;
Komponenter;EBF;Induktionsvärmare;elvärmeavgivande objekt genom strömflöde i det upphettade objektet;induktionsplatta, induktionshäll, induktionsspis, induktionsugn
Komponenter;EBG;Infraröd elvärmare;elvärmeavgivande objekt genom infraröd strålning;bastuaggregat, brödrost, elgrill, elspis med glaskeramikhäll, salamander, strålningsvärmare, värmelampa
Komponenter;EBH;Elektrisk ugn;elvärmeavgivande objekt genom omslutande upphettade ytor;hetluftsugn, jässkåp, kombiugn, stekugn, värmehurts, värmemonter, värmeskåp
Komponenter;EBZ;Elektrisk spis;elvärmeavgivande objekt genom multipla metoder;elspis, spis
Komponenter;EC;Elektriskt kylande objekt;avgivande objekt för elektriskt genererad kyla;
Komponenter;ECA;Elektriskt kylande yta;elektriskt kylande objekt genom en kylande yta;
Komponenter;ECB;Elektrisk kalluftblåsare;elektriskt kylande objekt genom luftströmning;
Komponenter;ECC;Kompressionskylare;elektriskt kylande objekt genom fasförändring;
Komponenter;EE;Trådlöst kraftavgivande objekt;avgivande objekt för trådlös kraft;
Komponenter;EEA;Induktiv kraftavgivare;trådlös kraftavgivande objekt genom induktiv koppling;induktionsplatta, induktionshäll, induktionsspis
Komponenter;EEB;Mikrovågsugn;trådlös kraftavgivande objekt genom mikrovågor;
Komponenter;EEC;Röntgenapparat;trådlös kraftavgivande objekt genom röntgenstrålning;
Komponenter;EED;Gammastrålningsavgivare;trådlös kraftavgivande objekt genom gammastrålning;
Komponenter;EEE;Kapacitiv kopplare;trådlös kraftavgivande objekt genom kapacitiv koppling;
Komponenter;EG;Termisk energiöverförande objekt;avgivande objekt för värme och kyla genom överföring av termisk energi;
Komponenter;EGA;Värmepump/kylmaskin;termisk energiöverförande objekt genom fasförändring;kompressionskylare, frysbox, frysskåp, frysbänk, infrysningsskåp, kyl- och frysskåp, kylcontainer, kyldisk, kylmonter, nedkylningsskåp, snabbinfrysningsskåp, snabbnedkylningsskåp, upptiningsskåp
Komponenter;EGB;Peltierelement;termisk energiöverförande objekt genom Peltierelement;kylplatta
Komponenter;EGC;Värmeväxlare;termisk energiöverförande objekt mellan flöden genom ett mellanliggande material;avloppsvärmeväxlare, batterivärmeväxlare, fjärrvärmeväxlare, korsströmsvärmeväxlare, luft/vattenvärmeväxlare, plattvärmeväxlare, roterande värmeväxlare
Komponenter;EM;Förbränningsvärmande objekt;avgivande objekt för värme genom förbränning;
Komponenter;EMA;Värmepanna;förbränningsvärmeaavgivande objekt för vätska;elpanna, oljepanna, pelletspanna, vedpanna
Komponenter;EMB;Brännugn;förbränningsvärmeaavgivande objekt för ett internt utrymme;gasspis
Komponenter;EMC;Brännare;förbränningsvärmeaavgivande objekt för uppvärmning av fast materia;gasolgrill, kolgrill, salamander
Komponenter;EP;Termiskt värmande objekt;avgivande objekt för värme genom termisk energi;
Komponenter;EPA;Värmerör;termiskt värmande objekt genom het vätska;
Komponenter;EPB;Värmefilt;termiskt värmande objekt genom en genomtränglig upphettad yta;
Komponenter;EPC;Värmeelement;termiskt värmande objekt genom en icke genomtränglig upphettad yta;element, panelradiator, vattenburen radiator, vattenradiator
Komponenter;EPD;Varmluftsaggregat;termiskt värmande objekt genom blåsning av luft;fläktluftvärmare
Komponenter;EQ;Termiskt kylande objekt;avgivande objekt för kyla genom termisk energi;
Komponenter;EQA;Kylmedelskylare;termiskt kylande objekt som kyler vätska;
Komponenter;EQB;Kylfilt;termiskt kylande objekt genom en genomtränglig kall yta;
Komponenter;EQC;Kylelement;termiskt kylande objekt genom en icke genomtränglig kall yta;förångare, kyltorn
Komponenter;EQD;Kylrör;termiskt kylande objekt genom kyld vätska i rör;kylbaffel, kylbatteri, kylslinga
Komponenter;EQE;Luftkylare;termiskt kylande objekt genom blåsning av luft;fläktkonvektor, fläktluftkylare, kylfläkt, kyltorkare
Komponenter;ET;Kärnkraftsvärmande objekt;avgivande objekt för värme genom nukleär fission;
Komponenter;ETA;Kokvattenreaktor;kärnkraftsvärmande objekt som avger vätskeflöde;
Komponenter;ETB;Tryckvattenreaktor;kärnkraftsvärmande objekt som avger ångflöde;
Komponenter;ETC;Gaskyld reaktor;kärnkraftsvärmande objekt som avger gasflöde;
Komponenter;EU;Partikelavgivande objekt;avgivande objekt för subatomära partiklar;
Komponenter;EUA;Plasmagenerator;partikelavgivande objekt för joniserade partiklar;
Komponenter;EUB;Partikelgenerator;partikelavgivande objekt för icke joniserade partiklar;
Komponenter;EV;Ljudavgivande objekt;avgivande objekt för akustiska vågor;
Komponenter;EVA;Sonar;ljudavgivande objekt för ultraljud;
Komponenter;EVB;Bullerutsläckande högtalare;ljudavgivande objekt för hörbara frekvenser för bullerdämpning;
Komponenter;F;Skyddande objekt;objekt för skydd mot effekterna av farliga eller oönskade förhållanden;
Komponenter;FA;Överspänningsskyddande objekt;skyddande objekt mot överspänning;
Komponenter;FAA;Gnistgap;överspänningsskyddande objekt genom ett gnistgap;
Komponenter;FAB;Varistor;överspänningsskyddande objekt genom en varistor;
Komponenter;FAC;Zenerdiod;överspänningsskyddande objekt genom en zenerdiod;zenerbarriär
Komponenter;FAD;Strömpulsskydd;överspänningsskyddande objekt genom absorption av strömpuls;
Komponenter;FB;Jordfelsskyddande objekt;skyddande objekt mot jordfelsströmmar;
Komponenter;FBA;Jordfelsbrytare;jordfelsskyddande objekt som övervakar ett elnät och stänger av i händelse av jordfelsströmmar;
Komponenter;FBB;Nollpunktsmotstånd;jordfelsskyddande objekt som begränsar styrkan hos jordfelsströmmar;
Komponenter;FC;Överströmsskyddande objekt;skyddande objekt mot överström;
Komponenter;FCA;Säkring;överströmsskyddande objekt som genom säkring öppnar kretsen som den ingår igenom att bryta strömmen när denna överskrider ett bestämt värde under tillräckligt lång tid;diazedsäkring, finsäkring, gängsäkringscentral, smältsäkring, säkring
Komponenter;FCB;Automatsäkring;"överströmsskyddande objekt som genom säkring öppnar kretsen som den ingår igenom att bryta strömmen när denna överskrider ett bestämt värde under tillräckligt lång tid och som sedan går att återställa

NOT Denna klass är avsedd för sådana kretsbrytare som är i enlighet med IEC 60898";dvärgbrytare
Komponenter;FCC;Bimetallbrytare;överströmsskyddande objekt som öppnar den krets det ingår igenom att bryta strömmen när denna överskrider ett givet värde under tillräckligt lång tid;motorskydd, termiskt överströmsskydd
Komponenter;FE;Fältskyddande objekt;skyddande objekt mot elektriska och/eller magnetiska fält;
Komponenter;FEA;Skydd mot elektriskt fält;fältskyddande objekt mot elektriskt fält;
Komponenter;FEB;Skydd mot magnetiskt fält;fältskyddande objekt mot magnetiskt fält;
Komponenter;FEC;Skydd mot elektromagnetiskt fält;fältskyddande objekt mot elektromagnetsikt fält;faradays bur
Komponenter;FL;Tryckskyddande objekt;skyddande objekt mot tryck;
Komponenter;FLA;Säkerhetsventil;tryckskyddande objekt som frisläpper ånga eller vätska när trycket överskrider ett gränsvärde;luftningsventil, tryckreduceringsventil, övertrycksventil
Komponenter;FLB;Säkerhetsspjäll;tryckskyddande objekt som öppnar eller stänger ett luftflöde när trycket överskrider eller underskrider ett gränsvärde;detonationsskydd, övertrycksspjäll
Komponenter;FLC;Vakuumbrytare;tryckskyddande objekt som förhindrar vacuum;
Komponenter;FLD;Brottskiva;tryckskyddande objekt som oåterkalleligt bryts upp i händelse av överskriden tryckskillnad;frostskyddpropp
Komponenter;FLE;Expansionskärl;tryckskyddande objekt genom volymexpansion;expansionstank
Komponenter;FLF;Sprängbleck;tryckskyddande objekt genom lokal försvagning av omslutning;
Komponenter;FM;Brandskyddande objekt;skyddande objekt mot brand;
Komponenter;FMA;Brandspjäll;brandskyddande objekt som stänger ett luftflöde vid detektering av brand;brandgasspjäll, rökgasspjäll, brand- och rökgasspjäll
Komponenter;FMB;Rökgasventil;brandskyddande objekt som öppnar eller stänger ett luftflöde vid detektering av rök och/eller brand;brandgasventilator, rökgasspjäll, röklucka, rökventilation
Komponenter;FMC;Kombinerat brandspjäll/rökgasventil;brandskyddande objekt som stänger ett luftflöde vid detektering av rök och/eller brand;
Komponenter;FMD;Branddörr;brandskyddande objekt som stänger en passage för att förhindra spridning av rök och/eller brand;
Komponenter;FME;Brandgardin;brandskyddande objekt som delar in ett område i brandzoner;brandjalusi
Komponenter;FMF;Brandtätning;brandskyddande objekt som tillsluter ett hål för att förhindra spridning av brand;brandkudde, brandmanschett, brandtejp, brandtätningsmassa, fogmassa
Komponenter;FMG;Brandsläckare;brandskyddande objekt för manuell hantering;handbrandsläckare
Komponenter;FMH;Brandisolering;brandskyddande objekt genom beklädnad;brandskyddsbeklädnad, brandskyddsskiva, sprutbetong för brandskydd
Komponenter;FMJ;Brandskyddsfärg;brandskyddande objekt genom beläggning;
Komponenter;FMK;Brandskyddsimpregnering;brandskyddande objekt genom impregnering;vattenglasimpregnering
Komponenter;FN;Mekanisk kraftskyddande objekt;skyddande objekt mot mekanisk kraft;
Komponenter;FNA;Vridmomentskydd;mekanisk kraftskyddande objekt som ger en frånkoppling när ett vridmoment överskrider ett bestämt värde;slirkoppling, brytpinne
Komponenter;FNB;Stötskydd;mekanisk kraftskyddande objekt genom absorption av kollosionskraft;avvisare, fångstanordning, kabelskydd, kringfyllning, kontaktledningskälke, krockskydd, navföljare, räckesavslutning, sockelavvisare, skyddsfyllning, skyddshuv, skyddsrör, sparkplåt, stoppbock, trädskydd
Komponenter;FQ;Förebyggande skyddande objekt;skyddande objekt genom barriär eller hinder;
Komponenter;FQA;Skyddsnät;förebyggande skyddande objekt mot passerande objekt;bergsäkringsnät, fågelnät, fönstergaller, intagsgaller, intagsgrind, isgrind, personskydd, sil, skyddsgaller, utloppsgaller, ventilationsgaller
Komponenter;FQB;Glidskydd;förebyggande skyddande objekt mot glidande eller drivande materia;glidskydd, snöglidskydd, snökrok, snörasskydd, snöräcke, snöskydd, underglidningsskydd för mc
Komponenter;FQC;Handledare;förebyggande skyddande objekt mot fall;ledstång, säkerhetslina
Komponenter;FQD;Räcke;förebyggande skyddande objekt mot fall eller kollision;avvisare, avvisarräcke, balkongräcke, balustrad, barriärelement, broräcke, fallskyddslina, fallskyddsräcke, fönsterdörräcke, krockskydd, mitträcke, nockräcke, parkeringsräcke, planteringsräcke, planteringsskydd, sidoräcke, skyddsräcke, skyddsräl, stamskydd, vägräcke
Komponenter;FQE;Skyddsduk;förebyggande skyddande objekt mot genomträngning;ogräsduk
Komponenter;FQF;Bländskydd;förebyggande skyddande objekt mot bländning;
Komponenter;FQG;Stänkskydd;förebyggande skyddande objekt mot stänk;duschkabin, duschvägg
Komponenter;FQH;Brytskydd;förebyggande skyddande objekt mot manuell brytning;
Komponenter;FQJ;Låsskydd;förebyggande skyddande objekt mot manuell upplåsning;vredkåpa, vredskydd
Komponenter;FQL;Hängkabelsäkring;förebyggande skyddande objekt mot fall av upphängt objekt;säkerhetslina
Komponenter;FR;Slitageskyddande objekt;skyddande objekt mot materialerosion;
Komponenter;FRA;Smörjmedel;slitageskyddande objekt genom smörjning mellan objekt;smörjolja rälssmörjningsapparat, smörjapparat
Komponenter;FRB;Slitageskydd;slitageskyddande objekt som tillhandhåller ett solitt materialskiljande lager mellan objekt;erosionsskydd, glacis, skyddsbeläggning, skyddsfolie, släntbeklädnad, strandskoning
Komponenter;FS;Omgivningsskyddande objekt;skyddande objekt relaterat till lokal omgivning;
Komponenter;FSA;Puts;omgivningsskyddande objekt genom stelnat bruk som täcker ett annat objekt;väggputs, takputs, slamning
Komponenter;FSB;Färg;omgivningsskyddande objekt genom en hårdnad vätskefilm på ytan av ett annat objekt;skyddsfärg
Komponenter;FSC;Impregnering;omgivningsskyddande objekt genom en applicerad eller injekterad vätska som gör objektet motståndskraftigt mot yttre påverkan;botteninjektering, efterinjektering, förinjektering, försegling, injekterad tätzon, injekteringsmedel, injekteringstätning, klotterskydd, ridåinjektering
Komponenter;FSD;Väderskydd;omgivningsskyddande objekt genom skydd mot klimateffekter;
Komponenter;FSE;Jordbävningsskydd;omgivningsskyddande objekt genom vibrationsdämpning;
